"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"1",800057,580532,201001,1,3,1975,35,34,4,2,2562.76536060966,1750,-13,1750,7986.41197354442,5000,6,6,"wo",0,201001,1,0,0.4688,0.0311999999999999,0.1282,-0.0282,0.1282,0.7718,0,0,1,1,1,300
"2",800762,500531,201001,2,2,1971,39,40,5,3,1600,1350,1350,1350,7460,4550,5,5,"hbo",0,201001,2,0,0.2188,0.2812,0.1,0,0.1282,0.7718,0.95,0.636531513096666,0,1,0.363468486903334,350
"3",801300,502993,201001,1,1,1969,40,40,4,2,7000,4000,4000,4000,8300,5000,6,5,"hbo",0,201001,2,0,0.2813,0.2187,0.1282,-0.0282,0.075,0.825,0,0,0,1,1,150
"4",801373,519555,201001,2,2,1960,49,31,4,0,3442.51668915922,2250,-13,2250,9240.51668915922,6262,5,5,"hbo",0,201001,1,0,0.5313,-0.0313,0.5219,-0.4219,0.1282,0.7718,1.5,0.69140973272908,1,0.411637775270135,0.30859026727092,0
"5",801486,508370,201001,2,3,1973,36,37,4,2,1733.69875399369,1250,-13,1250,4342.53411122126,3000,4,4,"mbo",0,201001,1,0,0.5313,-0.0313,0.1844,-0.0844,0.025,0.875,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,0
"6",801498,540438,201001,1,1,1947,62,62,3,1,3648.67855057463,2400,2400,2400,6512.18104748622,4480,4,4,"mbo",0,201001,1,1,0.5,0,0.1,0,0.1,0.8,1.45,0.999947477923638,0,0.152047631739526,5.25220763617495e-05,0
"7",801635,557211,201001,2,2,1970,39,42,5,3,700,550,550,550,4100,2820,5,5,"hbo",0,201001,2,1,0.2813,0.2187,0.1844,-0.0844,0.025,0.875,0,0,0,1,1,400
"8",801748,555355,201001,2,2,1967,43,44,5,3,1800,1580,1580,1580,5200,3780,5,5,"hbo",0,201001,2,1,0.125,0.375,0.075,0.025,0.1844,0.7156,1.5,0.273808825510905,0,0.411637775270135,0.726191174489095,420
"9",801776,597207,201001,2,3,1974,35,37,4,2,1300,1100,1100,1100,3500,2600,5,4,"mbo",0,201001,1,1,0.7813,-0.2813,0.9157,-0.8157,0.1282,0.7718,1.5,0,0,0.72248179628073,1,0
"10",803155,573168,201001,1,1,1977,32,32,4,2,2400,1750,-13,1750,2400,1750,4,4,"mbo",0,201001,1,0,0.4688,0.0311999999999999,0.1,0,0.075,0.825,1.45,0.94870418732162,0,0.400756256532678,0.05129581267838,80
"11",803500,588208,201001,2,1,1971,38,38,2,0,291.271608558945,250,-13,250,NA,NA,4,4,"mbo",0,201001,1,1,0.4688,0.0311999999999999,0.3532,-0.2532,0.025,0.875,1.5,0.142365774893191,1,0.72248179628073,0.857634225106809,0
