R0000100,RISK1_1993,RISK1_2002,RISK1_2004,RISK1_2006,RISK1_2010,RISK1_2012,RISK1_2014,,
2,2.729155708,2.729155708,2.729155708,2.594083557,2.729155708,2.594083557,2.594083557,,
3,2.919045488,2.919045488,2.774575258,2.919045488,2.774575258,2.919045488,2.774575258,,
4,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,,`
6,1.06349685,1.06349685,1.06349685,1.06349685,1.06349685,1.010861961,1.010861961,,
7,1.322627009,1.322627009,1.322627009,1.322627009,1.322627009,1.257167177,1.257167177,,
8,0.591834004,0.591834004,0.591834004,0.562542787,0.591834004,0.562542787,0.562542787,,
9,0.983799669,0.983799669,0.983799669,0.983799669,0.983799669,0.935109175,0.935109175,,
10,2.50996394,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,,
11,3.052095768,3.052095768,2.901040576,2.901040576,2.901040576,2.901040576,2.901040576,,
12,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,,
13,1.739166925,1.739166925,1.739166925,1.739166925,1.653091581,1.653091581,1.653091581,,
14,2.550452627,2.550452627,2.550452627,2.550452627,2.550452627,2.4242249,2.4242249,,
15,2.277995716,2.277995716,2.277995716,2.277995716,2.277995716,2.165252503,2.165252503,,
16,1.402188407,1.402188407,1.402188407,1.402188407,1.402188407,1.332790899,1.332790899,,
17,1.485603167,1.485603167,1.485603167,1.485603167,1.485603167,1.412077272,1.412077272,,
18,1.517369675,1.517369675,1.517369675,1.517369675,1.517369675,1.442271583,1.442271583,,
19,0.766616792,0.728675176,0.728675176,0.766616792,0.728675176,0.728675176,0.728675176,,
20,1.483075274,1.483075274,1.483075274,1.483075274,1.40967449,1.483075274,1.40967449,,
21,1.347568491,1.347568491,1.347568491,1.347568491,1.347568491,1.280874248,1.280874248,,
22,2.757812828,2.757812828,2.757812828,2.757812828,2.757812828,2.621322371,2.621322371,,
24,1.804634018,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,,
25,2.579363634,2.579363634,2.579363634,2.579363634,2.579363634,2.451705035,2.451705035,,
26,3.810869907,3.622261249,3.622261249,3.622261249,3.810869907,3.622261249,3.622261249,,
27,1.76161547,1.76161547,1.76161547,1.76161547,1.76161547,1.674429096,1.674429096,,
28,0.873071805,0.829861487,0.829861487,0.829861487,0.873071805,0.829861487,0.829861487,,
29,1.370762284,1.370762284,1.302920127,1.370762284,1.370762284,1.302920127,1.302920127,,
30,0.776237713,0.776237713,0.776237713,0.776237713,0.776237713,0.737819936,0.737819936,,
31,1.915914976,1.915914976,1.915914976,1.915914976,1.915914976,1.821091967,1.821091967,,
32,1.96035215,1.863329843,1.96035215,1.96035215,1.96035215,1.863329843,1.863329843,,
33,1.804634018,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,,
34,1.370762284,1.370762284,1.302920127,1.370762284,1.370762284,1.302920127,1.302920127,,
35,2.50996394,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,,
36,0.776237713,0.776237713,0.776237713,0.776237713,0.776237713,0.737819936,0.737819936,,
37,0.491898688,0.491898688,0.491898688,0.491898688,0.491898688,0.467553499,0.467553499,,
38,1.73060901,1.73060901,1.73060901,1.73060901,1.73060901,1.644957216,1.644957216,,
39,3.449176661,3.449176661,3.449176661,3.449176661,3.449176661,3.278469028,3.278469028,,
40,2.356193047,2.356193047,2.356193047,2.356193047,2.356193047,2.239579671,2.239579671,,
41,1.573226266,1.573226266,1.573226266,1.573226266,1.573226266,1.495363703,1.495363703,,
42,1.090153323,1.090153323,1.090153323,1.090153323,1.090153323,1.036199145,1.036199145,,
43,1.923654912,1.923654912,1.828448835,1.923654912,1.923654912,1.828448835,1.828448835,,
44,2.676962662,2.676962662,2.544473664,2.676962662,2.676962662,2.544473664,2.544473664,,
45,1.804634018,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,1.715318558,,
46,0.981791755,0.981791755,0.981791755,0.981791755,0.933200638,0.933200638,0.933200638,,
47,1.221705572,1.221705572,1.221705572,1.221705572,1.221705572,1.161240572,1.161240572,,
48,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,,
49,2.356870026,2.356870026,2.356870026,2.240223143,2.240223143,2.240223143,2.240223143,,
