R0000100,RISK3_1993,RISK3_2002,RISK3_2004,RISK3_2006,RISK3_2010,RISK3_2012,RISK3_2014
2,2.368710592,1.741570098,1.62305734,3.064341992,2.476350687,3.064341992,3.064341992
3,2.647482858,2.022507862,2.496040203,1.822639897,2.327975162,2.496040203,2.496040203
4,0.958752953,0.923637336,0.923637336,0.923637336,0.923637336,0.923637336,0.923637336
6,1.303720028,1.022921724,0.80936489,0.850783601,1.339718126,1.355018974,1.355018974
7,1.046959546,0.888192098,0.805215462,0.771038661,1.198206993,1.077489424,1.077489424
8,0.505803433,0.371886771,0.350977526,0.560454829,0.431828498,0.560454829,0.560454829
9,1.079436647,0.795115927,0.760283886,0.67185407,1.120399137,1.187611116,1.187611116
10,2.126035472,2.42392682,2.42392682,2.42392682,2.42392682,2.42392682,2.42392682
11,4.278623997,3.194249645,3.161206866,3.161206866,3.161206866,3.161206866,3.161206866
12,0.822882731,0.955264633,0.955264633,0.955264633,0.955264633,0.955264633,0.955264633
13,2.183002516,1.810312937,1.680764815,1.651760871,2.352461367,2.352461367,2.352461367
14,2.343651362,1.926032235,1.836744653,1.83257987,2.850599755,2.460871189,2.460871189
15,2.649906798,1.728852475,1.75968183,1.623143043,2.540423319,2.592440944,2.592440944
16,1.085499022,0.802434387,0.707563066,0.75465917,1.26844362,1.262353027,1.262353027
17,2.724330901,1.185148108,1.045103226,1.042659199,1.621868769,1.680128469,1.680128469
18,1.807229077,1.335959524,1.213483218,1.175338742,1.802263325,1.330565229,1.330565229
19,0.696527603,0.777176488,0.777176488,0.37898353,0.777176488,0.777176488,0.777176488
20,1.241290251,0.958384697,0.848906643,0.823189185,1.111177577,1.3419088,1.3419088
21,1.616905539,1.191016953,1.162487563,1.072286802,1.678263913,1.651603404,1.651603404
22,2.45864509,1.811044561,1.684681098,1.63050507,2.570372032,2.615675414,2.615675414
24,1.472327249,1.703885949,1.703885949,1.703885949,1.703885949,1.703885949,1.703885949
25,2.394571871,1.760584337,1.640777673,1.588013493,2.467799564,2.719952813,2.719952813
26,3.582139772,3.396691545,3.396691545,3.396691545,3.664817576,3.396691545,3.396691545
27,2.470956121,1.816745071,1.776514268,1.660702527,2.564724029,2.48530655,2.48530655
28,0.906358547,0.745424589,0.745424589,0.745424589,0.894739662,0.745424589,0.745424589
29,1.524091787,0.776403447,1.306544443,0.730178056,1.04739959,1.306544443,1.306544443
30,0.798471337,0.580952597,0.540378831,0.543975645,0.820138779,1.026233651,1.026233651
31,1.776799889,1.519884434,1.392497087,1.410429516,1.83113568,1.711820019,1.711820019
32,1.78938476,2.004901748,1.41888921,1.358568681,1.838792951,2.004901748,2.004901748
33,2.130516565,1.497783093,1.497783093,1.497783093,1.497783093,1.497783093,1.497783093
34,1.20565049,0.781902376,1.295844446,0.680632715,1.222938747,1.295844446,1.295844446
35,2.272450794,2.385534907,2.385534907,2.385534907,2.385534907,2.385534907,2.385534907
36,0.833542235,0.590841411,0.578313423,0.5602146,0.859032543,0.990496962,0.990496962
37,0.427944673,0.314641919,0.296908949,0.28380101,0.444184329,0.510112201,0.510112201
38,1.220364638,0.865033509,0.846691651,0.831281022,1.266675067,1.460532106,1.460532106
39,2.79930463,2.138490002,1.885657653,1.90681436,2.884909336,3.174273383,3.174273383
40,2.233075731,1.341314792,1.311612125,1.310690466,1.907224871,2.093515602,2.093515602
41,2.060231083,0.970426523,0.987731426,0.987037355,1.415849891,1.495161494,1.495161494
42,0.784753993,0.599501944,0.537719016,0.535430754,0.820415164,0.919052173,0.919052173
43,1.795082067,0.942424505,1.495751433,0.970589026,1.523482897,1.495751433,1.495751433
44,1.854143928,1.363240251,2.176761595,1.276471607,1.938400835,2.176761595,2.176761595
45,1.462213311,1.707988743,1.707988743,1.707988743,1.707988743,1.707988743,1.707988743
46,0.789663387,0.580591883,0.541082968,0.530724108,0.839455258,0.839455258,0.839455258
47,1.685786273,1.287833075,1.169768842,1.117966589,1.76239259,1.270528882,1.270528882
48,0.914030952,0.933534705,0.933534705,0.933534705,0.933534705,0.933534705,0.933534705
49,1.62324473,1.146598725,1.126210738,1.895983624,1.895983624,1.895983624,1.895983624
50,0.731058338,0.537503123,0.833302549,0.49879468,0.726147177,0.833302549,0.833302549
52,2.411203174,2.411203174,2.411203174,2.411203174,2.337432495,2.411203174,2.411203174
53,1.113191152,0.771117809,0.864930264,0.764564805,1.274612207,0.764564805,0.764564805
54,1.298008594,0.99173697,1.751552922,1.751552922,1.751552922,1.751552922,1.751552922
57,2.382849209,1.778939969,1.615622504,1.565060189,2.867881939,2.873622664,2.873622664
58,0.522010622,0.5675274,0.36152772,0.346182932,0.541819894,0.5675274,0.5675274
59,0.462294294,0.339897124,0.320170117,0.306580723,0.571426343,0.571426343,0.571426343
60,0.754012813,0.785771922,0.785771922,0.785771922,0.673871864,0.785771922,0.785771922
61,3.119850754,2.293838176,2.13774392,2.096817498,3.215257986,3.169936436,3.169936436
62,0.583790978,0.445979033,0.400017729,0.392359518,0.72128439,0.628472948,0.628472948
63,1.730712985,1.971091086,1.275904576,1.275008008,1.842002163,1.971091086,1.971091086
66,0.936517177,0.883474198,0.746587475,0.734802421,1.15338098,1.015422818,1.015422818
67,2.770386665,1.159912036,1.618278671,1.060285716,1.649287026,1.618278671,1.618278671
68,1.545576108,1.136368935,1.111204681,1.024983106,1.592840913,1.566452634,1.566452634
69,2.238547557,1.68765923,1.517891033,1.591538387,2.315895076,2.255503961,2.255503961
70,2.389786705,1.292335624,1.140558696,1.981619319,2.028207645,1.981619319,1.981619319
71,1.380487353,1.159541478,1.159541478,1.159541478,1.410677564,1.159541478,1.159541478
72,1.805095127,1.296990282,1.223892933,1.185590137,1.830979037,1.327120577,1.327120577
73,3.895372538,2.834199158,2.715063771,2.625787997,2.777140099,2.674227329,2.674227329
74,3.104536396,2.220063087,2.220063087,2.220063087,2.220063087,2.220063087,2.220063087
75,1.155670733,0.860414678,0.772375294,0.811409653,1.180706437,1.178402477,1.178402477
76,2.826610055,1.488055736,1.3122173,1.291779679,2.021797913,2.100097227,2.100097227
77,2.930616344,1.95752719,1.95752719,1.880651445,1.95752719,1.95752719,1.95752719
78,0.584960719,0.640556053,0.400049094,0.399113558,0.640556053,0.640556053,0.640556053
79,4.58753419,3.135666022,3.191582048,4.596333704,4.596333704,4.596333704,4.596333704
80,1.458878207,0.813425482,0.979579315,0.96161299,1.465270065,0.813425482,0.813425482
81,5.049589643,3.528553156,4.041794403,3.221209713,2.796355389,3.528553156,3.528553156
82,1.044489398,0.905882972,0.905882972,0.905882972,0.905882972,0.905882972,0.905882972
83,0.98450812,0.695419325,0.683151205,0.670621625,1.014615071,0.871376891,0.871376891
84,5.860854747,3.211816852,3.115625004,3.097287864,4.686032822,4.02574619,4.02574619
85,5.962966458,4.455043261,3.996204107,3.826588052,5.98909231,4.618385527,4.618385527
86,1.080067217,0.74556568,0.711002521,0.720158736,1.079903596,0.842886313,0.842886313
87,0.995040082,0.768258018,0.670323119,0.678907105,1.056687666,0.734904486,0.734904486
88,0.611937452,0.432249487,0.42456354,0.405819905,0.63515927,0.631834702,0.631834702
89,2.250044435,1.589346346,1.561308165,1.532672433,2.247151037,2.247151037,2.247151037
90,0.607776953,0.416879536,0.422834998,0.390026012,0.606106955,0.731025454,0.731025454
91,3.131301273,2.314754565,2.178469852,2.036454451,3.122697346,3.845375926,3.845375926
92,0.777020095,0.664667279,0.608958964,0.86480276,0.892425553,0.86480276,0.86480276
93,0.912663305,0.646924957,0.656166805,0.605252931,1.102121027,1.138207284,1.138207284
94,1.555181356,1.149638067,0.965475071,0.997999643,1.999217024,1.999217024,1.999217024
95,0.378050958,0.323386877,0.304618094,0.291688795,0.436883913,0.516005877,0.516005877
96,1.106076473,0.844971802,0.757891464,0.733519166,1.13990107,1.012665461,1.012665461
