"R0000100","R0000500","R0000600","R0001900","R0173600","R0214700","R0214800","R0214901","R0217500","R0217502","R0405210","R0405600","R0406301","R0618600","R0618801","R0647103","R0780300","R0896710","R0898400","R0898501","R1021900","R1144410","R1144701","R1144900","R1391000","R1395700","R1404100","R1404700","R1405300","R1519610","R1519901","R1520100","R1774600","R1890210","R1890601","R1890800","R2257410","R2257701","R2257900","R2444610","R2445101","R2445300","R2716600","R2721100","R2721200","R2870110","R2870700","R2870900","R2968200","R3073910","R3074400","R3074600","R3400600","R3401100","R3401300","R3656000","R3656500","R3656700","R3915300","R3915400","R3915800","R4006500","R4007000","R4007200","R4417600","R4418100","R4418300","R4979200","R5053400","R5053500","R5053900","R5080600","R5081100","R5081300","R5165900","R5166400","R5166600","R6430700","R6430800","R6431200","R6478600","R6479000","R6479200","R7006400","R7006900","R7606400","R7703600","R7704200","R8496000","R8496600","R9909800","T0911100","T0987600","T0988200","T0988400","T2075400","T2209900","T2210400","T3044000","T3107700","T3108300","T3976200","T4112200","T4112800","T4914500","T5022500","T5023200","T5770700","T5771100","T8218600","T8219200"
1,58,20,11,5,3,2,1,1,5,-5,-5,-5,1,1,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,59,20,11,5,3,2,1,1,5,5,1,1,1,1,5,-4,5,1,1,-4,5,1,1,0,-4,-4,-4,-4,5,1,1,0,5,1,1,5,1,1,1,1,1,0,-4,0,1,1,1,0,1,1,1,1,1,1,1,1,1,-4,0,0,3,1,2,4,3,2,-4,-4,0,0,4,3,2,5,3,2,-4,0,0,5,3,2,5,2,0,5,2,5,2,1,0,4,1,2,0,4,2,0,4,2,0,3,2,0,4,2,4,2,4,2
3,61,17,21,5,3,2,1,1,5,1,1,1,-5,-5,-5,1,3,2,3,0,3,3,2,1,3,1,-4,-4,4,3,2,1,4,3,2,4,3,2,5,3,2,1,-4,2,5,3,2,1,5,1,2,5,3,2,5,1,2,-4,5,0,5,1,2,6,3,2,1,-4,0,0,5,3,2,5,1,2,-4,2,0,5,1,2,3,2,1,4,2,-5,-5,1,1,2,1,2,1,2,2,-5,-5,-5,1,2,2,1,2,2,2,2,2,2
4,62,16,21,5,3,2,2,1,5,-5,-5,-5,2,3,3,1,3,2,2,1,2,3,3,1,-4,2,-4,-4,2,3,3,0,2,3,3,2,1,3,2,1,3,0,-4,1,2,1,3,1,2,3,3,2,3,3,-5,-5,-5,-4,0,0,2,1,3,2,1,3,-5,-5,-5,-5,-5,-5,-5,3,1,2,-4,0,0,4,1,2,-5,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,2,2
5,59,19,11,1,3,1,1,1,4,4,1,1,1,1,4,1,4,1,3,1,4,3,1,1,-4,-4,-4,-4,1,3,1,-5,-5,-5,-5,2,1,2,-5,-5,-5,1,-1,-1,2,1,2,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,60,18,11,1,3,1,3,1,4,4,1,1,1,2,4,1,4,1,1,1,3,1,1,1,4,2,-4,-4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,2,2,1,2,3,4,0,3,1,2,3,1,2,1,-4,3,0,3,1,2,4,1,2,-5,-5,-5,-5,-5,-5,5,2,1,5,2,5,2,1,1,5,1,2,1,5,2,1,5,2,1,5,2,1,5,2,4,2,3,2
7,64,14,51,1,3,1,3,1,3,5,1,1,1,1,4,1,1,1,1,0,1,4,1,1,-4,-4,-4,-4,1,4,1,1,1,4,1,1,4,1,1,4,1,1,-4,0,1,4,1,1,1,4,1,3,4,2,3,4,2,-4,5,0,3,4,2,4,1,2,0,-4,2,0,4,3,3,4,1,3,-4,1,0,3,1,3,3,3,1,3,3,3,3,-999,0,3,1,3,0,2,3,1,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8,58,20,11,6,3,2,1,2,3,4,2,3,2,1,4,1,4,2,1,1,5,1,2,1,-4,-4,-4,-4,5,1,2,1,5,3,2,5,1,2,5,1,2,1,-4,0,4,1,3,1,4,1,3,4,1,3,3,1,3,-4,4,0,4,1,3,4,1,3,1,1,4,1,3,1,3,3,1,3,2,0,0,3,1,3,5,3,1,2,3,3,3,1,1,1,1,3,1,2,2,1,2,2,1,3,2,1,2,2,4,2,2,2
9,63,15,21,1,3,1,1,1,6,6,1,3,1,1,6,1,7,1,1,1,6,1,1,1,5,1,-4,-3,4,1,1,1,4,1,1,2,1,1,2,1,1,1,5,1,2,1,2,1,2,1,2,2,1,2,3,1,2,-4,0,0,3,1,2,4,3,2,1,-4,0,0,4,1,2,4,1,2,-4,0,0,4,1,2,4,2,1,4,2,4,2,1,1,4,1,2,1,4,2,1,4,2,1,3,2,1,3,2,3,2,-5,-5
10,60,18,51,6,3,2,2,1,3,4,1,1,1,1,4,1,4,1,1,1,3,1,2,1,3,1,-4,-4,3,3,2,1,3,1,2,-5,-5,-5,-5,-5,-5,1,-4,2,4,3,2,-5,-5,-5,-5,7,1,2,7,1,2,-4,0,0,7,1,2,6,1,2,1,-4,3,0,6,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,59,19,51,1,3,1,1,1,3,-5,-5,-5,1,1,3,1,3,1,1,1,3,2,1,1,-4,-4,-4,-4,3,1,1,1,3,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,-4,0,0,1,1,1,1,1,1,1,-4,0,0,1,1,1,1,2,1,-4,0,0,1,1,1,1,1,1,1,1,1,1,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
12,59,19,11,5,3,2,3,1,3,3,1,1,1,3,3,1,3,1,1,1,2,1,2,1,-4,-4,-4,-4,2,1,2,1,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,1,-4,0,0,4,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,58,20,11,1,3,1,1,1,5,4,1,1,1,1,4,1,2,1,1,1,2,1,1,1,-3,2,-4,-3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,-4,0,1,1,1,1,2,1,2,3,1,2,3,1,2,-4,0,0,4,1,2,4,1,2,1,-4,0,0,5,1,2,6,1,2,-4,0,0,6,1,2,2,3,0,3,3,3,3,1,0,1,1,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
14,63,15,11,5,3,2,1,1,5,5,1,3,1,2,4,1,4,1,1,1,3,1,1,1,2,3,-4,-4,5,1,1,1,4,1,1,4,1,1,1,1,1,1,-4,2,4,1,1,1,3,1,1,3,1,1,2,1,2,-4,1,0,2,1,2,2,1,2,1,1,6,0,2,1,2,2,1,2,1,6,0,1,1,3,1,3,1,1,3,1,3,-998,1,1,1,3,1,1,3,1,1,3,1,1,3,0,1,3,1,3,-5,-5
15,64,15,11,1,3,1,3,1,4,4,1,1,1,3,4,1,4,1,3,1,4,3,1,1,-4,-4,-4,-4,4,3,1,1,4,1,1,4,1,1,4,1,1,1,-4,0,1,1,1,1,1,4,1,4,2,1,4,1,1,-4,-1,-1,4,1,1,2,1,2,1,-4,0,0,2,1,2,2,1,2,-4,0,0,3,3,2,4,2,1,5,2,6,2,1,1,6,3,2,1,6,2,1,6,2,1,6,2,1,6,2,6,2,6,2
