R0000100,RISK1_1993,RISK1_2002,RISK1_2004,RISK1_2006,RISK1_2010,RISK1_2012,RISK1_2014,RISK2_1993,RISK2_2002,RISK2_2004,RISK2_2006,RISK2_2010,RISK2_2012,RISK2_2014,RISK3_1993,RISK3_2002,RISK3_2004,RISK3_2006,RISK3_2010,RISK3_2012,RISK3_2014,RISK4_1993,RISK4_2002,RISK4_2004,RISK4_2006,RISK4_2010,RISK4_2012,RISK4_2014
2,2.669170503,2.669170503,2.669170503,2.527123096,2.669170503,2.527123096,2.527123096,2.20675539,1.948903768,1.822189929,2.721904436,2.14387176,2.721904436,2.721904436,2.120969078,1.585765211,1.483174144,2.86272238,2.138470297,2.86272238,2.86272238,1.753324036,1.561177461,1.317444151,2.889869812,1.669697727,2.889869812,2.889869812
3,2.541060332,2.541060332,2.405830667,2.541060332,2.405830667,2.541060332,2.405830667,2.901154857,2.751630677,2.197782253,2.020273718,2.197782253,1.978676669,2.197782253,2.429482417,1.882047324,2.343822308,1.708805775,2.096701739,2.343822308,2.343822308,2.660458629,2.325675583,2.116645904,1.912077787,2.116645904,1.783486681,2.116645904
4,1.037961886,0.982723828,0.982723828,0.982723828,0.982723828,0.982723828,0.982723828,1.236148213,0.947658748,0.947658748,0.947658748,0.947658748,0.947658748,0.947658748,0.964280642,0.950212263,0.950212263,0.950212263,0.950212263,0.950212263,0.950212263,1.046317312,0.952779557,0.952779557,0.952779557,0.952779557,0.952779557,0.952779557
6,1.350664731,1.350664731,1.350664731,1.350664731,1.350664731,1.278785313,1.278785313,1.743371593,1.341032817,1.108973112,1.164173275,1.392026259,1.204370478,1.204370478,1.295761895,1.02895102,0.826196105,0.867673063,1.287993455,1.391479639,1.391479639,1.405810665,1.153163751,0.939012921,0.983147571,1.351840482,1.266541362,1.266541362
7,1.15903429,1.15903429,1.15903429,1.15903429,1.15903429,1.097353024,1.097353024,1.503785701,1.006922564,0.927419972,1.128071964,1.335190783,1.060387943,1.060387943,1.056087048,0.902700886,0.822973755,0.791684653,1.159894788,1.101682553,1.101682553,1.181753125,0.929704194,0.854850838,0.927586025,1.285835953,1.068253413,1.068253413
8,0.594121498,0.594121498,0.594121498,0.562503653,0.594121498,0.562503653,0.562503653,0.603021414,0.429058018,0.401310405,0.656082101,0.433570395,0.656082101,0.656082101,0.521164617,0.389654298,0.368413771,0.613612692,0.430764245,0.613612692,0.613612692,0.473395385,0.351094705,0.331582696,0.6872495,0.372218352,0.6872495,0.6872495
9,1.16129068,1.16129068,1.16129068,1.16129068,1.16129068,1.099489334,1.099489334,1.833200813,1.230961319,1.183176301,1.068829344,1.347550183,0.962096934,0.962096934,1.067243167,0.7989643,0.765931163,0.684561759,1.06935593,1.226189416,1.226189416,1.458548621,1.024797546,0.984059326,0.895836587,1.303602944,1.019943311,1.019943311
10,2.483670305,2.351494813,2.351494813,2.351494813,2.351494813,2.351494813,2.351494813,2.249901666,2.20111947,2.20111947,2.20111947,2.20111947,2.20111947,2.20111947,2.005622552,2.328623952,2.328623952,2.328623952,2.328623952,2.328623952,2.328623952,1.811158227,2.209145303,2.209145303,2.209145303,2.209145303,2.209145303,2.209145303
11,3.445843042,3.445843042,3.262462824,3.262462824,3.262462824,3.262462824,3.262462824,4.164045759,3.704274246,2.75445032,2.75445032,2.75445032,2.75445032,2.75445032,3.900747637,2.955498883,2.992289401,2.992289401,2.992289401,2.992289401,2.992289401,3.597659716,3.148523945,2.727534366,2.727534366,2.727534366,2.727534366,2.727534366
12,1.037961886,0.982723828,0.982723828,0.982723828,0.982723828,0.982723828,0.982723828,1.009678608,0.982326611,0.982326611,0.982326611,0.982326611,0.982326611,0.982326611,0.831340301,0.977900662,0.977900662,0.977900662,0.977900662,0.977900662,0.977900662,0.714410474,1.01679635,1.01679635,1.01679635,1.01679635,1.01679635,1.01679635
13,2.233586549,2.233586549,2.233586549,2.233586549,2.114719966,2.114719966,2.114719966,2.678577699,2.5311034,2.136392982,1.947106175,1.870673097,1.870673097,1.870673097,2.081465999,1.762108504,1.644464216,1.619086873,2.210767069,2.210767069,2.210767069,2.105280593,2.241237274,1.873009932,1.750765081,1.903366314,1.903366314,1.903366314
14,2.463844316,2.463844316,2.463844316,2.463844316,2.463844316,2.332723919,2.332723919,2.714492797,2.09253196,1.957358342,1.74530664,2.366212998,2.397647825,2.397647825,2.175717756,1.828085287,1.748169532,1.745510552,2.558526195,2.341392632,2.341392632,2.093621565,1.743324176,1.657287329,1.703144648,2.309738594,2.372172616,2.372172616
15,2.425099237,2.425099237,2.425099237,2.425099237,2.425099237,2.296040768,2.296040768,3.187121956,2.398667182,2.381662884,2.21824307,2.602472207,1.99484045,1.99484045,2.471351046,1.633051065,1.657436874,1.540101809,2.271345461,2.446628506,2.446628506,2.592365238,1.97409695,1.990975829,1.851311816,2.570791078,2.045280817,2.045280817
16,1.209706027,1.209706027,1.209706027,1.209706027,1.209706027,1.145328122,1.145328122,1.162272485,0.858869248,0.749555463,0.835093449,0.969841275,1.432710926,1.432710926,1.07188742,0.805094503,0.715966408,0.760800484,1.214527654,1.260544676,1.260544676,0.966115442,0.727378384,0.644476012,0.650278086,1.018624098,1.44032222,1.44032222
17,1.743333538,1.743333538,1.743333538,1.743333538,1.743333538,1.650557146,1.650557146,2.590412382,1.533425291,1.375740783,1.39296679,1.789867758,1.545089994,1.545089994,2.672045878,1.174427542,1.044033916,1.042823824,1.528545369,1.663767717,1.663767717,2.943472657,1.292362378,1.154894962,1.157286301,1.543735327,1.511751691,1.511751691
18,1.552025212,1.552025212,1.552025212,1.552025212,1.552025212,1.46942983,1.46942983,1.587625934,1.26816041,1.211764151,1.156067961,1.460824452,1.592770325,1.592770325,1.811861646,1.360889048,1.241843514,1.208390872,1.748628077,1.335879067,1.335879067,1.77998581,1.314482142,1.22004759,1.178373329,1.652864615,1.372859616,1.372859616
