R0000100,RISK1_1993,RISK1_2002,RISK1_2004,RISK1_2006,RISK1_2010,RISK1_2012,RISK1_2014,RISK2_1993,RISK2_2002,RISK2_2004,RISK2_2006,RISK2_2010,RISK2_2012,RISK2_2014,RISK3_1993,RISK3_2002,RISK3_2004,RISK3_2006,RISK3_2010,RISK3_2012,RISK3_2014,RISK4_1993,RISK4_2002,RISK4_2004,RISK4_2006,RISK4_2010,RISK4_2012,RISK4_2014
2,2.729155708,2.729155708,2.729155708,2.594083557,2.729155708,2.594083557,2.594083557,2.499573835,2.25833255,2.133759087,2.991732666,2.435839518,2.991732666,2.991732666,2.368710592,1.741570098,1.62305734,3.064341992,2.476350687,3.064341992,3.064341992,2.153328701,1.839317601,1.501854533,3.234517418,2.166150224,3.234517418,3.234517418
3,2.919045488,2.919045488,2.774575258,2.919045488,2.774575258,2.919045488,2.774575258,2.940604294,2.830934216,2.86517999,2.139353508,2.86517999,2.077906619,2.86517999,2.647482858,2.022507862,2.496040203,1.822639897,2.327975162,2.496040203,2.496040203,2.746849412,2.133668611,2.621699129,1.856561048,2.621699129,1.632194406,2.621699129
4,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,0.952987809,0.997254052,0.997254052,0.997254052,0.997254052,0.997254052,0.997254052,0.958752953,0.923637336,0.923637336,0.923637336,0.923637336,0.923637336,0.923637336,0.847589149,0.960601633,0.960601633,0.960601633,0.960601633,0.960601633,0.960601633
6,1.06349685,1.06349685,1.06349685,1.06349685,1.06349685,1.010861961,1.010861961,1.593014554,1.224735301,1.040648921,1.086101549,1.277190087,1.020808642,1.020808642,1.303720028,1.022921724,0.80936489,0.850783601,1.339718126,1.355018974,1.355018974,1.525677488,1.071050519,0.968888901,1.006202836,1.481113255,1.211126538,1.211126538
7,1.322627009,1.322627009,1.322627009,1.322627009,1.322627009,1.257167177,1.257167177,1.682103191,1.117691909,1.047885312,1.244810713,1.423382055,1.099670769,1.099670769,1.046959546,0.888192098,0.805215462,0.771038661,1.198206993,1.077489424,1.077489424,1.171474289,0.869740502,0.903416001,0.862210255,1.257956589,1.035157966,1.035157966
8,0.591834004,0.591834004,0.591834004,0.562542787,0.591834004,0.562542787,0.562542787,0.571935017,0.425488337,0.401428798,0.609734673,0.436160147,0.609734673,0.609734673,0.505803433,0.371886771,0.350977526,0.560454829,0.431828498,0.560454829,0.560454829,0.485093803,0.284615154,0.335503522,0.621871015,0.388714796,0.621871015,0.621871015
9,0.983799669,0.983799669,0.983799669,0.983799669,0.983799669,0.935109175,0.935109175,1.404089758,1.005988673,0.972584581,0.878537324,1.076750038,0.960811786,0.960811786,1.079436647,0.795115927,0.760283886,0.67185407,1.120399137,1.187611116,1.187611116,1.269033724,0.778630113,0.879459195,0.781519996,1.217336958,1.102839047,1.102839047
10,2.50996394,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.385740091,2.486244318,2.436319454,2.436319454,2.436319454,2.436319454,2.436319454,2.436319454,2.126035472,2.42392682,2.42392682,2.42392682,2.42392682,2.42392682,2.42392682,2.055665005,2.39848104,2.39848104,2.39848104,2.39848104,2.39848104,2.39848104
11,3.052095768,3.052095768,2.901040576,2.901040576,2.901040576,2.901040576,2.901040576,4.033378626,3.669216723,3.023739827,3.023739827,3.023739827,3.023739827,3.023739827,4.278623997,3.194249645,3.161206866,3.161206866,3.161206866,3.161206866,3.161206866,4.708600588,3.459872248,2.991314157,2.991314157,2.991314157,2.991314157,2.991314157
12,1.079481597,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,1.026055586,0.910598721,1.005923948,1.005923948,1.005923948,1.005923948,1.005923948,1.005923948,0.822882731,0.955264633,0.955264633,0.955264633,0.955264633,0.955264633,0.955264633,0.782244138,0.97662136,0.97662136,0.97662136,0.97662136,0.97662136,0.97662136
